task,sequence,query,training,old_eval,fixed_eval,category,old_duplicate_name,negative4m,excluded1m,observed_state
S06_3d_branch_medium_C02__rounded_rectangle,72154,18,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__rounded_rectangle,72154,19,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S06_3d_branch_medium_C02__rounded_rectangle,72154,20,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__rounded_rectangle,72154,21,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S06_3d_branch_medium_C02__rounded_rectangle,72154,22,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__rounded_rectangle,72154,23,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__rounded_rectangle,72154,24,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__rounded_rectangle,72154,25,unknown,not_selected,not_selected,observed_excluded_at1m_but_not_original4m,True,False,True,1
S06_3d_branch_medium_C02__rounded_rectangle,72154,26,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__rounded_rectangle,72154,27,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__rounded_rectangle,72154,28,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__rounded_rectangle,72154,29,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__rounded_rectangle,72154,30,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__rounded_rectangle,72154,31,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S02_3d_tree_small_C05__rounded_rectangle,16694,0,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S02_3d_tree_small_C05__rounded_rectangle,16694,1,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S02_3d_tree_small_C05__rounded_rectangle,16694,2,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S02_3d_tree_small_C05__rounded_rectangle,16694,3,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S02_3d_tree_small_C05__rounded_rectangle,16694,4,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S02_3d_tree_small_C05__rounded_rectangle,16694,5,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S02_3d_tree_small_C05__rounded_rectangle,16694,6,unknown,false_positive,false_positive,observed_excluded_at1m_but_not_original4m,True,False,True,1
S02_3d_tree_small_C05__rounded_rectangle,16694,7,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S02_3d_tree_small_C05__rounded_rectangle,16694,8,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S02_3d_tree_small_C05__rounded_rectangle,16694,9,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S02_3d_tree_small_C05__rounded_rectangle,16694,10,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S02_3d_tree_small_C05__rounded_rectangle,16694,11,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S02_3d_tree_small_C05__rounded_rectangle,16694,12,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S02_3d_tree_small_C05__rounded_rectangle,16694,13,unknown,false_positive,false_positive,observed_excluded_at1m_but_not_original4m,True,False,True,1
S02_3d_tree_small_C05__rounded_rectangle,16694,14,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S02_3d_tree_small_C05__rounded_rectangle,16694,15,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S02_3d_tree_small_C05__rounded_rectangle,16694,16,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S02_3d_tree_small_C05__rounded_rectangle,16694,17,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S02_3d_tree_small_C05__rounded_rectangle,16694,18,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S02_3d_tree_small_C05__rounded_rectangle,16694,19,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S02_3d_tree_small_C05__rounded_rectangle,16694,20,positive,matched,matched,position_valid,False,False,False,1
S02_3d_tree_small_C05__rounded_rectangle,16694,21,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S02_3d_tree_small_C05__rounded_rectangle,16694,22,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S02_3d_tree_small_C05__rounded_rectangle,16694,23,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S02_3d_tree_small_C05__rounded_rectangle,16694,24,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S02_3d_tree_small_C05__rounded_rectangle,16694,25,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S02_3d_tree_small_C05__rounded_rectangle,16694,26,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S02_3d_tree_small_C05__rounded_rectangle,16694,27,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S02_3d_tree_small_C05__rounded_rectangle,16694,28,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S02_3d_tree_small_C05__rounded_rectangle,16694,29,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S02_3d_tree_small_C05__rounded_rectangle,16694,30,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S02_3d_tree_small_C05__rounded_rectangle,16694,31,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S08_3d_loop_rich_C01__rounded_rectangle,116881,0,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S08_3d_loop_rich_C01__rounded_rectangle,116881,1,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S08_3d_loop_rich_C01__rounded_rectangle,116881,2,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S08_3d_loop_rich_C01__rounded_rectangle,116881,3,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S08_3d_loop_rich_C01__rounded_rectangle,116881,4,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S08_3d_loop_rich_C01__rounded_rectangle,116881,5,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S08_3d_loop_rich_C01__rounded_rectangle,116881,6,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S08_3d_loop_rich_C01__rounded_rectangle,116881,7,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S08_3d_loop_rich_C01__rounded_rectangle,116881,8,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S08_3d_loop_rich_C01__rounded_rectangle,116881,9,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S08_3d_loop_rich_C01__rounded_rectangle,116881,10,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S08_3d_loop_rich_C01__rounded_rectangle,116881,11,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S08_3d_loop_rich_C01__rounded_rectangle,116881,12,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S08_3d_loop_rich_C01__rounded_rectangle,116881,13,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S08_3d_loop_rich_C01__rounded_rectangle,116881,14,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S08_3d_loop_rich_C01__rounded_rectangle,116881,15,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S08_3d_loop_rich_C01__rounded_rectangle,116881,16,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S08_3d_loop_rich_C01__rounded_rectangle,116881,17,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S08_3d_loop_rich_C01__rounded_rectangle,116881,18,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S08_3d_loop_rich_C01__rounded_rectangle,116881,19,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S08_3d_loop_rich_C01__rounded_rectangle,116881,20,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S08_3d_loop_rich_C01__rounded_rectangle,116881,21,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S08_3d_loop_rich_C01__rounded_rectangle,116881,22,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S08_3d_loop_rich_C01__rounded_rectangle,116881,23,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S08_3d_loop_rich_C01__rounded_rectangle,116881,24,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S08_3d_loop_rich_C01__rounded_rectangle,116881,25,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S08_3d_loop_rich_C01__rounded_rectangle,116881,26,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S08_3d_loop_rich_C01__rounded_rectangle,116881,27,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S08_3d_loop_rich_C01__rounded_rectangle,116881,28,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S08_3d_loop_rich_C01__rounded_rectangle,116881,29,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S08_3d_loop_rich_C01__rounded_rectangle,116881,30,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S08_3d_loop_rich_C01__rounded_rectangle,116881,31,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S03_flat_unicyclic_small_C04__rounded_rectangle,29352,0,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S03_flat_unicyclic_small_C04__rounded_rectangle,29352,1,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S03_flat_unicyclic_small_C04__rounded_rectangle,29352,2,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S03_flat_unicyclic_small_C04__rounded_rectangle,29352,3,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S03_flat_unicyclic_small_C04__rounded_rectangle,29352,4,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S03_flat_unicyclic_small_C04__rounded_rectangle,29352,5,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S03_flat_unicyclic_small_C04__rounded_rectangle,29352,6,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S03_flat_unicyclic_small_C04__rounded_rectangle,29352,7,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S03_flat_unicyclic_small_C04__rounded_rectangle,29352,8,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S03_flat_unicyclic_small_C04__rounded_rectangle,29352,9,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S03_flat_unicyclic_small_C04__rounded_rectangle,29352,10,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S03_flat_unicyclic_small_C04__rounded_rectangle,29352,11,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S03_flat_unicyclic_small_C04__rounded_rectangle,29352,12,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S03_flat_unicyclic_small_C04__rounded_rectangle,29352,13,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S03_flat_unicyclic_small_C04__rounded_rectangle,29352,14,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S03_flat_unicyclic_small_C04__rounded_rectangle,29352,15,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S03_flat_unicyclic_small_C04__rounded_rectangle,29352,16,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S03_flat_unicyclic_small_C04__rounded_rectangle,29352,17,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S03_flat_unicyclic_small_C04__rounded_rectangle,29352,18,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S03_flat_unicyclic_small_C04__rounded_rectangle,29352,19,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S03_flat_unicyclic_small_C04__rounded_rectangle,29352,20,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S03_flat_unicyclic_small_C04__rounded_rectangle,29352,21,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S03_flat_unicyclic_small_C04__rounded_rectangle,29352,22,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S03_flat_unicyclic_small_C04__rounded_rectangle,29352,23,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S03_flat_unicyclic_small_C04__rounded_rectangle,29352,24,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S03_flat_unicyclic_small_C04__rounded_rectangle,29352,25,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S03_flat_unicyclic_small_C04__rounded_rectangle,29352,26,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S03_flat_unicyclic_small_C04__rounded_rectangle,29352,27,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S03_flat_unicyclic_small_C04__rounded_rectangle,29352,28,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S03_flat_unicyclic_small_C04__rounded_rectangle,29352,29,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S03_flat_unicyclic_small_C04__rounded_rectangle,29352,30,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S03_flat_unicyclic_small_C04__rounded_rectangle,29352,31,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S06_3d_branch_medium_C02__ellipse,72152,0,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__ellipse,72152,1,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__ellipse,72152,2,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__ellipse,72152,3,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__ellipse,72152,4,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S06_3d_branch_medium_C02__ellipse,72152,5,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__ellipse,72152,6,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S06_3d_branch_medium_C02__ellipse,72152,7,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__ellipse,72152,8,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__ellipse,72152,9,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__ellipse,72152,10,unknown,false_positive,false_positive,observed_excluded_at1m_but_not_original4m,True,False,True,1
S06_3d_branch_medium_C02__ellipse,72152,11,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__ellipse,72152,12,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__ellipse,72152,13,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__ellipse,72152,14,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__ellipse,72152,15,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__ellipse,72152,16,positive,matched,matched,position_valid,False,False,False,1
S06_3d_branch_medium_C02__ellipse,72152,17,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__ellipse,72152,18,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__ellipse,72152,19,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__ellipse,72152,20,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S06_3d_branch_medium_C02__ellipse,72152,21,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__ellipse,72152,22,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__ellipse,72152,23,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__ellipse,72152,24,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__ellipse,72152,25,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__ellipse,72152,26,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__ellipse,72152,27,unknown,unresolved,false_positive,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__ellipse,72152,28,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__ellipse,72152,29,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__ellipse,72152,30,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__ellipse,72152,31,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S03_flat_unicyclic_small_C04__rounded_rectangle,29343,0,unknown,false_positive,false_positive,observed_excluded_at1m_but_not_original4m,True,False,True,1
S03_flat_unicyclic_small_C04__rounded_rectangle,29343,1,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S03_flat_unicyclic_small_C04__rounded_rectangle,29343,2,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S03_flat_unicyclic_small_C04__rounded_rectangle,29343,3,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S03_flat_unicyclic_small_C04__rounded_rectangle,29343,4,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S03_flat_unicyclic_small_C04__rounded_rectangle,29343,5,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S03_flat_unicyclic_small_C04__rounded_rectangle,29343,6,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S03_flat_unicyclic_small_C04__rounded_rectangle,29343,7,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S03_flat_unicyclic_small_C04__rounded_rectangle,29343,8,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S03_flat_unicyclic_small_C04__rounded_rectangle,29343,9,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S03_flat_unicyclic_small_C04__rounded_rectangle,29343,10,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S03_flat_unicyclic_small_C04__rounded_rectangle,29343,11,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S03_flat_unicyclic_small_C04__rounded_rectangle,29343,12,positive,matched,matched,position_valid,False,False,False,1
S03_flat_unicyclic_small_C04__rounded_rectangle,29343,13,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S03_flat_unicyclic_small_C04__rounded_rectangle,29343,14,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S03_flat_unicyclic_small_C04__rounded_rectangle,29343,15,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S03_flat_unicyclic_small_C04__rounded_rectangle,29343,16,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S03_flat_unicyclic_small_C04__rounded_rectangle,29343,17,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S03_flat_unicyclic_small_C04__rounded_rectangle,29343,18,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S03_flat_unicyclic_small_C04__rounded_rectangle,29343,19,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S03_flat_unicyclic_small_C04__rounded_rectangle,29343,20,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S03_flat_unicyclic_small_C04__rounded_rectangle,29343,21,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S03_flat_unicyclic_small_C04__rounded_rectangle,29343,22,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S03_flat_unicyclic_small_C04__rounded_rectangle,29343,23,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S03_flat_unicyclic_small_C04__rounded_rectangle,29343,24,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S03_flat_unicyclic_small_C04__rounded_rectangle,29343,25,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S03_flat_unicyclic_small_C04__rounded_rectangle,29343,26,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S03_flat_unicyclic_small_C04__rounded_rectangle,29343,27,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S03_flat_unicyclic_small_C04__rounded_rectangle,29343,28,unknown,false_positive,false_positive,observed_excluded_at1m_but_not_original4m,True,False,True,1
S03_flat_unicyclic_small_C04__rounded_rectangle,29343,29,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S03_flat_unicyclic_small_C04__rounded_rectangle,29343,30,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S03_flat_unicyclic_small_C04__rounded_rectangle,29343,31,unknown,not_selected,not_selected,observed_excluded_at1m_but_not_original4m,True,False,True,1
S08_3d_loop_rich_C01__ellipse,116895,0,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S08_3d_loop_rich_C01__ellipse,116895,1,unknown,false_positive,false_positive,observed_excluded_at1m_but_not_original4m,True,False,True,1
S08_3d_loop_rich_C01__ellipse,116895,2,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S08_3d_loop_rich_C01__ellipse,116895,3,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S08_3d_loop_rich_C01__ellipse,116895,4,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S08_3d_loop_rich_C01__ellipse,116895,5,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S08_3d_loop_rich_C01__ellipse,116895,6,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S08_3d_loop_rich_C01__ellipse,116895,7,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S08_3d_loop_rich_C01__ellipse,116895,8,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S08_3d_loop_rich_C01__ellipse,116895,9,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S08_3d_loop_rich_C01__ellipse,116895,10,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S08_3d_loop_rich_C01__ellipse,116895,11,unknown,false_positive,false_positive,observed_excluded_at1m_but_not_original4m,True,False,True,1
S08_3d_loop_rich_C01__ellipse,116895,12,unknown,unresolved,false_positive,missing_observation_or_exclusion_evidence,False,False,False,0
S08_3d_loop_rich_C01__ellipse,116895,13,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S08_3d_loop_rich_C01__ellipse,116895,14,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S08_3d_loop_rich_C01__ellipse,116895,15,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S08_3d_loop_rich_C01__ellipse,116895,16,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S08_3d_loop_rich_C01__ellipse,116895,17,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S08_3d_loop_rich_C01__ellipse,116895,18,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S08_3d_loop_rich_C01__ellipse,116895,19,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
